순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
266,KT,19,13.38,568,2,1,144,71,71,37,59,1277.0,661,611,5533,1303,,,118,481,17,61,848,6,50,4.31,4.51,1.40,96.8,91.6,13.38,
242,LG,19,14.92,600,1,0,144,79,64,43,62,1283.1,633,554,5555,1257,,,89,499,15,91,953,1,64,3.89,4.16,1.37,105.2,97.8,14.92,
187,NC,19,17.86,645,5,2,144,73,69,32,68,1284.1,631,573,5578,1285,,,103,483,10,92,991,2,68,4.02,4.22,1.38,105.5,100.2,17.86,
6,SK,19,30.04,628,0,0,144,88,55,51,92,1292.1,546,503,5463,1240,,,99,436,12,50,1092,4,50,3.50,3.81,1.30,121.1,112.2,30.04,
71,두산,19,23.46,621,3,0,144,88,55,44,69,1283.2,550,501,5434,1259,,,78,380,22,70,860,5,49,3.51,3.85,1.28,116.4,105.9,23.46,
285,롯데,19,11.97,664,1,1,144,48,93,16,47,1270.1,764,688,5726,1405,,,120,546,33,71,1032,4,103,4.87,4.39,1.54,86.1,95.4,11.97,
292,삼성,19,11.35,627,4,4,144,60,83,29,60,1275.1,731,658,5638,1332,,,125,523,9,70,924,5,49,4.64,4.60,1.46,93.2,92.8,11.35,
97,키움,19,22.07,611,2,2,144,86,57,39,90,1279.0,572,512,5427,1293,,,61,371,3,58,984,6,45,3.60,3.48,1.30,114.6,118.6,22.07,
291,한화,19,11.39,649,2,0,144,58,86,28,43,1268.2,737,679,5655,1407,,,120,526,9,72,934,4,66,4.82,4.55,1.52,86.0,91.6,11.39,
184,KIA,20,18.11,639,1,1,144,73,70,33,79,1269.1,795,725,5678,1398,,,120,559,8,70,1038,4,78,5.14,4.62,1.54,93.8,104.4,18.11,
182,KT,20,18.15,665,0,0,144,81,62,33,71,1290.1,715,654,5680,1357,,,118,523,20,59,848,1,75,4.56,4.74,1.46,105.1,100.5,18.15,
234,LG,20,15.44,653,2,2,144,79,61,29,67,1292.2,694,631,5655,1344,,,123,493,12,86,1019,4,49,4.39,4.53,1.42,105.2,101.7,15.44,
162,NC,20,19.18,736,0,0,144,83,55,31,88,1296.2,714,661,5690,1292,,,153,547,10,79,1049,7,65,4.59,4.90,1.42,106.6,98.8,19.18,
308,SK,20,8.50,686,1,0,144,51,92,20,53,1259.1,846,783,5727,1343,,,162,670,12,84,953,5,85,5.60,5.48,1.60,86.3,89.0,8.50,
133,두산,20,20.62,656,1,0,144,78,61,23,43,1284.2,695,628,5676,1393,,,109,477,22,61,1046,4,52,4.40,4.24,1.46,105.2,109.1,20.62,
156,롯데,20,19.33,689,1,0,144,71,72,25,59,1277.1,720,659,5583,1351,,,143,447,25,58,1002,4,62,4.64,4.57,1.41,104.8,105.2,19.33,
168,삼성,20,18.75,698,3,1,144,64,75,25,80,1272.1,745,676,5634,1330,,,151,542,16,67,931,5,56,4.78,5.03,1.47,103.4,97.3,18.75,
175,키움,20,18.36,730,0,0,144,80,63,42,81,1280.1,692,625,5556,1336,,,126,447,16,72,950,7,51,4.39,4.53,1.39,106.7,102.6,18.36,
281,한화,20,12.20,705,1,1,144,46,95,21,54,1265.0,820,744,5756,1400,,,158,609,22,79,1019,5,77,5.29,5.15,1.59,89.7,93.1,12.20,
225,MBC,82,16.09,186,19,8,79,46,33,15,0,708.0,350,276,2994,660,,,52,259,10,47,392,10,27,3.51,3.52,1.30,113.0,112.6,16.09,
177,OB,82,18.28,156,32,4,80,56,24,10,0,725.1,318,258,3020,625,,,41,289,4,33,317,6,14,3.20,3.60,1.26,121.6,108.3,18.28,
262,롯데,82,13.66,169,26,4,80,33,48,3,0,713.2,385,313,3080,763,,,69,261,29,29,362,11,14,3.95,3.76,1.44,100.6,105.7,13.66,
313,삼미,82,-0.16,200,7,0,80,15,65,5,0,701.2,574,479,3217,883,,,93,313,11,50,175,7,22,6.14,5.15,1.71,65.5,78.2,-0.16,
124,삼성,82,21.11,152,23,8,79,53,26,17,0,704.1,257,211,2830,617,,,57,187,6,30,305,3,10,2.70,3.50,1.14,147.1,113.2,21.11,
288,해태,82,11.88,154,24,2,80,38,42,3,0,708.0,388,298,3067,698,,,50,295,5,39,348,8,17,3.79,3.75,1.40,101.7,102.8,11.88,
155,MBC,83,19.56,190,31,6,100,55,43,17,0,909.0,335,275,3725,787,,,45,298,11,44,366,9,18,2.72,2.99,1.19,113.6,103.5,19.56,
299,OB,83,10.60,198,27,8,100,44,55,18,0,892.1,432,351,3789,897,,,81,315,10,62,329,8,17,3.54,3.73,1.36,92.5,87.7,10.60,
286,롯데,83,11.95,229,29,4,100,43,56,7,0,897.2,464,378,3827,935,,,90,260,12,47,414,6,17,3.79,3.42,1.33,87.1,96.4,11.95,
147,삼미,83,19.82,160,56,6,100,52,47,8,0,908.2,372,309,3663,882,,,77,260,12,36,386,6,12,3.06,3.25,1.26,109.5,103.2,19.82,
239,삼성,83,15.08,201,34,7,100,46,50,12,0,899.1,418,342,3785,833,,,65,335,15,58,399,3,17,3.42,3.37,1.30,97.8,99.3,15.08,
215,해태,83,16.63,212,27,10,100,55,44,14,0,852.2,390,311,3707,803,,,56,286,6,45,456,2,13,3.28,2.99,1.28,99.1,109.0,16.63,
265,MBC,84,13.39,173,39,6,100,51,48,10,0,896.1,374,318,3741,876,,,59,275,8,43,355,2,15,3.19,3.24,1.28,96.8,95.3,13.39,
95,OB,84,22.16,229,14,2,100,58,41,31,0,885.1,298,249,3601,720,,,51,331,12,44,445,2,22,2.53,3.12,1.19,132.7,107.8,22.16,
241,롯데,84,15.02,232,26,1,100,50,48,11,0,880.2,390,324,3723,865,,,75,300,8,40,454,2,12,3.31,3.35,1.32,98.3,97.2,15.02,
303,삼미,84,10.42,210,24,2,100,38,59,18,0,899.1,461,405,3845,895,,,83,372,14,50,461,6,14,4.05,3.68,1.41,82.8,91.3,10.42,
190,삼성,84,17.60,210,30,6,99,55,45,13,0,886.2,379,330,3740,806,,,48,380,23,44,476,4,22,3.35,3.13,1.34,99.5,106.5,17.60,
218,해태,84,16.52,224,27,6,100,43,54,12,0,896.1,398,316,3749,833,,,67,279,20,40,459,0,19,3.17,3.09,1.24,103.9,106.7,16.52,
229,MBC,85,15.86,231,28,4,110,44,65,13,0,982.0,408,354,4124,902,,,63,385,12,44,353,5,26,3.24,3.61,1.31,102.9,92.6,15.86,
148,OB,85,19.76,249,25,3,110,51,57,13,0,992.1,416,348,4112,882,,,64,386,5,40,433,3,20,3.16,3.46,1.28,113.0,103.2,19.76,
104,롯데,85,21.83,236,32,11,110,59,51,15,0,992.1,420,336,4131,936,,,60,324,6,44,513,3,21,3.05,3.06,1.27,111.9,111.3,21.83,
312,삼미/청보,85,5.24,232,37,3,110,39,70,15,0,977.2,607,530,4359,1130,,,118,399,13,60,393,6,33,4.88,4.35,1.56,74.7,83.7,5.24,
40,삼성,85,25.23,226,27,5,110,77,32,41,0,1001.1,379,331,4121,871,,,62,368,18,34,496,5,22,2.98,3.18,1.24,119.4,111.6,25.23,
232,해태,85,15.76,281,11,2,110,57,52,20,0,926.0,465,400,4146,979,,,83,296,19,51,450,2,16,3.89,3.47,1.38,89.8,100.5,15.76,
142,MBC,86,19.94,267,11,3,108,59,41,30,0,984.0,361,304,4038,880,,,45,341,17,32,415,5,17,2.78,2.91,1.24,106.7,101.8,19.94,
170,OB,86,18.64,238,29,12,108,56,48,19,0,975.2,341,283,4003,820,,,43,390,7,29,394,4,20,2.61,3.11,1.24,113.8,95.6,18.64,
106,롯데,86,21.74,234,33,6,108,50,52,11,0,983.2,360,299,4097,896,,,48,325,10,49,520,2,19,2.74,2.76,1.24,108.7,107.7,21.74,
300,빙그레,86,10.55,217,42,8,108,31,76,3,0,951.1,467,388,3993,932,,,90,284,5,47,407,5,15,3.67,3.48,1.28,85.5,90.2,10.55,
220,삼성,86,16.33,209,34,7,108,70,37,33,0,966.0,369,317,4012,848,,,62,385,20,29,387,4,20,2.95,3.33,1.28,104.7,92.8,16.33,
305,청보,86,9.38,259,23,6,108,32,74,10,0,962.1,506,427,4193,1001,,,68,356,15,57,408,5,17,3.99,3.39,1.41,78.9,93.0,9.38,
49,해태,86,24.65,257,28,11,108,67,37,23,0,982.2,372,312,4058,857,,,41,334,12,34,531,6,10,2.86,2.62,1.21,106.8,116.3,24.65,
176,MBC,87,18.31,233,20,4,108,50,51,26,0,971.2,407,363,4118,966,,,48,335,14,50,372,3,11,3.36,3.49,1.34,102.5,98.7,18.31,
210,OB,87,16.79,216,38,8,108,55,52,22,0,960.2,405,348,4064,906,,,38,407,6,32,382,5,20,3.26,3.54,1.37,105.4,97.2,16.79,
109,롯데,87,21.66,197,51,12,108,54,49,9,0,975.2,404,364,4097,971,,,40,331,10,34,504,1,19,3.36,3.06,1.33,105.2,115.5,21.66,
221,빙그레,87,16.29,195,51,6,108,47,57,7,0,955.1,454,401,4020,970,,,75,281,7,37,364,9,11,3.78,3.70,1.31,96.9,98.9,16.29,
246,삼성,87,14.54,233,26,8,108,64,44,30,0,959.0,427,381,4078,926,,,62,416,19,45,360,5,16,3.58,3.94,1.40,99.8,90.6,14.54,
301,청보,87,10.48,226,42,5,108,41,65,9,0,956.0,524,463,4140,1063,,,69,327,28,36,328,3,20,4.36,3.77,1.45,82.4,95.2,10.48,
101,해태,87,21.88,241,26,8,108,55,48,14,0,982.0,401,345,4050,864,,,52,372,11,32,494,3,12,3.16,3.35,1.26,110.3,104.1,21.88,
280,MBC,88,12.45,216,36,4,108,40,64,14,0,961.1,491,422,4188,1038,,,69,373,15,46,347,6,9,3.95,4.05,1.47,94.9,92.6,12.45,
202,OB,88,17.24,259,17,5,108,54,52,19,0,969.1,447,402,4105,933,,,69,381,13,35,388,4,16,3.73,3.95,1.36,100.8,95.2,17.24,
129,롯데,88,20.85,233,30,7,108,57,49,18,0,966.1,443,385,4086,961,,,55,329,8,29,476,8,17,3.59,3.42,1.34,106.8,112.0,20.85,
134,빙그레,88,20.60,237,27,8,108,62,45,28,0,972.2,441,402,4091,1015,,,72,298,18,39,394,5,12,3.72,3.72,1.35,105.5,105.7,20.60,
263,삼성,88,13.52,260,22,9,108,56,50,21,0,968.2,492,449,4151,953,,,80,403,21,40,341,5,23,4.17,4.26,1.40,92.4,90.6,13.52,
294,태평양,88,11.25,249,20,3,108,34,73,11,0,945.0,544,484,4053,1020,,,79,305,11,38,387,5,18,4.61,3.90,1.40,83.1,98.2,11.25,
16,해태,88,27.99,228,26,7,108,68,38,23,0,968.0,364,308,3981,849,,,58,297,7,37,501,3,13,2.86,3.34,1.18,133.7,114.8,27.99,
278,MBC,89,12.61,332,8,0,120,49,67,30,0,1069.2,581,509,4693,1133,,,61,455,11,46,451,5,24,4.28,3.87,1.49,85.0,93.9,12.61,
196,OB,89,17.45,331,18,7,120,54,63,20,0,1072.1,481,441,4551,969,,,60,527,15,32,543,8,32,3.70,3.84,1.40,98.9,95.4,17.45,
161,롯데,89,19.22,259,37,5,120,48,67,11,0,1076.0,522,467,4569,1072,,,68,390,28,50,508,5,19,3.91,3.63,1.36,96.9,104.3,19.22,
110,빙그레,89,21.65,293,26,6,120,71,46,26,0,1076.0,464,419,4502,994,,,90,430,28,41,535,6,13,3.50,3.93,1.32,109.6,97.7,21.65,
284,삼성,89,12.03,315,20,4,120,57,58,27,0,1068.0,588,524,4688,1094,,,84,516,22,44,469,11,19,4.42,4.26,1.51,86.1,89.3,12.03,
39,태평양,89,25.25,286,34,6,120,62,54,19,0,1091.2,440,368,4511,952,,,49,440,27,40,589,6,25,3.03,3.35,1.28,121.4,109.9,25.25,
20,해태,89,26.85,237,30,12,120,65,51,20,0,1078.2,442,400,4479,928,,,63,400,11,37,694,6,17,3.34,3.26,1.23,109.8,112.5,26.85,
27,LG,90,26.03,306,19,5,120,71,49,33,0,1083.0,457,407,4550,981,,,49,410,28,61,548,2,12,3.38,3.37,1.28,111.0,111.3,26.03,
306,OB,90,8.99,314,18,6,120,35,80,10,0,1055.2,616,554,4651,1075,,,78,535,14,58,468,5,33,4.72,4.29,1.53,79.5,87.5,8.99,
240,롯데,90,15.06,346,19,6,119,44,69,21,0,1045.0,572,514,4505,1035,,,82,435,15,54,481,3,26,4.43,4.03,1.41,87.9,96.6,15.06,
91,빙그레,90,22.43,305,6,1,120,68,50,40,0,1061.1,481,402,4476,971,,,96,420,26,37,555,4,18,3.41,3.92,1.31,115.2,100.3,22.43,
251,삼성,90,14.33,298,20,3,120,66,52,36,0,1070.1,558,491,4630,1053,,,102,512,15,53,475,7,26,4.13,4.46,1.46,95.7,88.6,14.33,
131,태평양,90,20.67,313,25,7,121,58,60,27,0,1100.0,524,453,4932,1066,,,59,473,17,32,530,7,36,3.71,3.63,1.40,101.7,103.7,20.67,
24,해태,90,26.29,269,34,14,120,68,49,14,0,1067.1,458,399,4435,902,,,75,412,12,50,701,5,22,3.36,3.43,1.23,113.3,111.0,26.29,
228,LG,91,15.95,287,27,3,126,53,72,24,0,1114.2,607,543,4889,1125,,,90,446,23,70,622,7,26,4.38,3.95,1.41,87.9,97.6,15.95,
259,OB,91,13.88,311,28,6,126,51,73,12,0,1119.2,603,538,4850,1093,,,82,510,24,56,489,10,30,4.32,4.22,1.43,89.4,91.6,13.88,
78,롯데,91,22.95,268,39,5,122,61,59,13,0,1085.1,527,472,4589,1019,,,67,431,10,51,612,7,26,3.91,3.67,1.34,104.0,110.9,22.95,
68,빙그레,91,23.50,281,30,5,126,72,49,26,0,1102.2,493,411,4754,1014,,,75,420,25,73,601,8,17,3.35,3.76,1.30,118.3,105.6,23.50,
179,삼성,91,18.28,347,14,4,126,70,55,38,0,1128.2,579,531,4860,1131,,,108,484,22,40,527,6,32,4.23,4.33,1.43,95.9,93.7,18.28,
248,쌍방울,91,14.41,350,13,3,126,52,71,31,0,1099.2,638,573,4838,1101,,,116,556,26,64,551,12,35,4.69,4.68,1.51,87.5,87.7,14.41,
167,태평양,91,18.81,317,33,6,130,55,72,20,0,1157.1,590,532,4965,1106,,,100,517,33,43,626,6,39,4.14,4.10,1.40,94.6,95.6,18.81,
1,해태,91,34.99,276,34,10,126,79,42,28,0,1130.2,409,363,4546,925,,,73,324,11,53,776,6,21,2.89,3.13,1.11,137.4,127.0,34.99,
146,LG,92,19.83,357,21,5,126,53,70,20,0,1130.2,616,539,4967,1170,,,83,487,35,65,648,2,25,4.29,3.96,1.47,97.2,105.3,19.83,
159,OB,92,19.25,309,30,4,126,56,66,21,0,1127.0,582,528,4878,1105,,,96,493,17,61,595,1,50,4.22,4.26,1.42,98.5,97.5,19.25,
74,롯데,92,23.36,277,39,6,126,71,55,17,0,1113.2,581,529,4778,1152,,,99,410,12,37,581,1,42,4.28,4.06,1.40,103.0,108.4,23.36,
32,빙그레,92,25.64,270,26,7,126,81,43,35,0,1120.0,520,458,4747,1024,,,108,415,19,53,653,0,38,3.68,4.07,1.29,117.6,106.4,25.64,
194,삼성,92,17.53,329,23,6,126,67,57,25,0,1125.2,636,569,4984,1085,,,102,636,9,52,640,3,50,4.55,4.63,1.53,96.4,94.7,17.53,
282,쌍방울,92,12.11,350,14,4,126,41,84,17,0,1091.2,686,588,4828,1106,,,140,516,21,65,600,1,44,4.85,4.89,1.49,90.1,89.4,12.11,
172,태평양,92,18.44,276,26,2,126,56,67,25,0,1111.0,609,553,4848,1128,,,125,509,27,45,653,2,29,4.48,4.49,1.47,96.4,96.2,18.44,
93,해태,92,22.23,291,25,7,126,71,54,28,0,1105.1,571,517,4767,1101,,,118,405,13,69,678,2,30,4.21,4.19,1.36,102.7,103.1,22.23,
149,LG,93,19.69,349,19,6,126,66,57,36,0,1126.2,440,384,4696,1020,,,71,385,23,64,655,3,20,3.07,3.26,1.25,103.0,97.0,19.69,
26,OB,93,26.21,296,26,9,126,66,55,27,0,1128.0,405,362,4618,949,,,39,386,14,49,684,3,30,2.89,2.82,1.18,108.5,111.0,26.21,
120,롯데,93,21.36,265,44,14,126,62,63,17,0,1120.2,462,415,4669,1088,,,57,348,11,30,512,2,28,3.33,3.20,1.28,100.8,105.1,21.36,
174,빙그레,93,18.37,258,33,5,126,61,61,25,0,1127.2,491,434,4720,1035,,,84,370,7,49,669,2,31,3.46,3.34,1.25,95.9,99.4,18.37,
115,삼성,93,21.55,298,28,11,126,73,48,31,0,1137.0,433,373,4728,991,,,72,457,13,50,683,6,27,2.95,3.39,1.27,112.8,98.2,21.55,
298,쌍방울,93,10.67,280,24,4,126,43,78,30,0,1106.0,551,491,4787,1032,,,88,528,12,62,654,3,22,4.00,3.88,1.41,81.9,84.3,10.67,
214,태평양,93,16.72,249,36,2,126,34,82,15,0,1134.2,516,451,4801,1095,,,65,412,21,39,635,2,21,3.58,3.23,1.33,91.0,100.9,16.72,
15,해태,93,28.04,322,16,6,126,81,42,43,0,1129.1,420,367,4630,935,,,76,372,8,75,802,2,21,2.92,3.09,1.16,113.5,107.6,28.04,
64,LG,94,23.62,360,24,9,126,81,45,46,0,1120.0,452,391,4605,1007,,,68,332,19,60,581,3,23,3.14,3.56,1.20,116.0,102.3,23.62,
122,OB,94,21.24,326,28,9,126,53,72,18,0,1107.2,507,426,4676,1042,,,56,404,16,58,670,2,39,3.46,3.47,1.31,105.2,105.0,21.24,
237,롯데,94,15.33,333,14,3,126,56,67,35,0,1112.1,604,549,4791,1156,,,101,419,25,44,590,4,35,4.44,4.11,1.42,86.8,93.8,15.33,
118,삼성,94,21.41,299,26,6,126,60,64,24,0,1117.0,499,431,4702,1021,,,85,413,10,52,657,2,44,3.47,3.85,1.28,110.7,100.0,21.41,
304,쌍방울,94,9.73,306,13,3,126,47,74,30,0,1115.2,634,587,4890,1169,,,110,473,19,74,634,1,33,4.74,4.38,1.47,79.1,85.6,9.73,
14,태평양,94,28.42,314,17,3,126,68,55,47,0,1121.0,471,436,4746,1110,,,59,359,12,44,645,3,40,3.50,3.39,1.31,109.7,113.3,28.42,
72,한화,94,23.44,270,22,5,126,65,59,29,0,1123.2,510,440,4716,1036,,,95,361,27,40,745,3,34,3.52,3.58,1.24,107.6,105.8,23.44,
102,해태,94,21.88,284,28,6,126,65,59,24,0,1119.1,509,448,4702,999,,,92,406,20,73,737,6,23,3.60,3.79,1.26,106.5,101.2,21.88,
62,LG,95,23.69,349,22,5,126,74,48,40,0,1122.1,456,400,4637,996,,,62,322,17,58,607,6,28,3.21,3.42,1.17,111.0,104.2,23.69,
108,OB,95,21.67,320,22,8,126,74,47,35,0,1148.1,500,437,4800,1031,,,68,399,24,56,701,3,30,3.42,3.49,1.25,103.9,102.1,21.67,
59,롯데,95,23.90,340,19,5,126,68,53,28,0,1137.1,493,439,4658,1049,,,83,328,13,53,642,2,32,3.47,3.60,1.21,109.2,105.3,23.90,
189,삼성,95,17.63,334,18,5,126,60,60,28,0,1116.0,555,483,4807,1018,,,78,450,5,90,672,7,33,3.90,3.95,1.32,97.1,95.7,17.63,
309,쌍방울,95,8.31,322,21,5,126,45,78,21,0,1109.0,636,575,4860,1134,,,124,476,29,80,622,3,23,4.67,4.57,1.45,80.0,81.7,8.31,
160,태평양,95,19.24,318,21,5,126,48,73,24,0,1112.0,548,484,4754,1109,,,84,383,36,47,690,3,47,3.92,3.61,1.34,94.7,102.7,19.24,
207,한화,95,16.96,274,36,8,126,55,71,24,0,1119.0,566,502,4812,1091,,,102,411,18,55,793,2,40,4.04,3.78,1.34,91.6,97.9,16.96,
4,해태,95,31.38,316,15,4,126,64,58,40,0,1127.2,434,384,4620,953,,,79,354,19,75,872,3,44,3.06,3.27,1.16,123.0,115.5,31.38,
271,LG,96,12.95,419,7,1,126,50,71,29,0,1128.2,593,516,4864,1112,,,88,420,27,89,653,7,19,4.11,3.93,1.36,86.9,91.1,12.95,
211,OB,96,16.77,407,14,5,126,47,73,23,0,1115.2,516,455,4739,1036,,,79,440,37,58,663,3,49,3.67,3.76,1.32,96.7,94.4,16.77,
209,롯데,96,16.87,372,22,2,126,57,63,17,0,1120.2,580,518,4786,1127,,,93,397,30,55,684,1,38,4.16,3.78,1.36,90.6,99.8,16.87,
254,삼성,96,14.20,358,11,2,126,54,67,29,0,1121.1,585,529,4921,1093,,,90,528,28,102,657,1,43,4.25,4.27,1.45,88.9,88.5,14.20,
58,쌍방울,96,24.03,408,15,9,126,70,54,36,0,1125.1,460,416,4761,1030,,,64,420,28,93,744,5,26,3.33,3.50,1.29,110.7,105.3,24.03,
52,한화,96,24.31,330,21,7,126,70,55,31,0,1132.2,532,477,4742,1025,,,98,351,22,56,949,0,43,3.79,3.26,1.22,96.2,112.0,24.31,
22,해태,96,26.57,358,22,8,126,73,51,25,0,1133.2,441,396,4618,945,,,98,373,18,66,805,2,28,3.14,3.61,1.16,119.0,103.7,26.57,
29,현대,96,25.80,399,7,3,126,67,54,36,0,1140.2,454,385,4707,974,,,76,378,30,54,749,4,39,3.04,3.40,1.19,120.8,108.0,25.80,
89,LG,97,22.44,476,4,1,126,73,51,45,0,1121.1,512,471,4713,1045,,,101,369,40,74,708,6,24,3.78,3.86,1.26,102.8,100.7,22.44,
103,OB,97,21.87,439,8,2,126,57,64,36,0,1123.0,551,479,4835,1090,,,67,453,35,67,784,7,66,3.84,3.55,1.37,101.6,110.0,21.87,
244,롯데,97,14.68,389,9,0,126,48,77,25,0,1111.1,621,566,4839,1155,,,116,464,26,47,640,2,47,4.58,4.39,1.46,89.4,93.4,14.68,
188,삼성,97,17.72,386,9,2,126,66,53,38,0,1131.0,605,532,4911,1107,,,97,491,36,95,678,2,54,4.23,4.25,1.41,97.9,97.5,17.72,
81,쌍방울,97,22.81,488,6,1,126,71,53,42,0,1109.2,518,471,4716,1075,,,93,378,20,87,689,3,34,3.82,3.92,1.31,105.1,102.3,22.81,
140,한화,97,20.20,341,20,7,126,51,73,29,0,1115.0,554,503,4681,1024,,,129,412,25,50,792,3,41,4.06,4.13,1.29,99.7,97.9,20.20,
47,해태,97,24.75,374,11,4,126,75,50,38,0,1129.0,510,458,4713,986,,,108,390,34,89,794,5,35,3.65,3.89,1.22,111.6,104.7,24.75,
217,현대,97,16.58,422,9,1,126,51,71,37,0,1108.1,582,519,4734,1050,,,123,423,24,57,755,2,38,4.21,4.19,1.33,94.7,95.3,16.58,
231,LG,98,15.79,496,3,1,126,63,62,31,0,1121.1,586,521,4808,1132,,,111,350,20,78,688,1,34,4.18,4.05,1.32,92.5,95.6,15.79,
96,OB,98,22.15,399,15,6,126,61,62,28,0,1116.2,506,447,4743,1054,,,88,425,22,55,774,3,59,3.60,3.77,1.32,106.9,102.3,22.15,
233,롯데,98,15.47,361,20,4,126,50,72,17,0,1114.0,646,570,4812,1149,,,115,381,27,74,693,2,52,4.61,4.15,1.37,87.9,97.6,15.47,
223,삼성,98,16.21,374,10,0,126,66,58,26,0,1128.0,584,541,4894,1120,,,133,477,35,69,723,1,42,4.32,4.51,1.42,95.2,91.2,16.21,
198,쌍방울,98,17.36,533,5,1,126,58,66,26,0,1115.1,570,501,4778,1137,,,111,359,21,83,631,4,44,4.04,4.19,1.34,98.3,94.8,17.36,
126,한화,98,21.02,396,8,2,126,55,66,30,0,1118.2,578,529,4783,1105,,,114,405,31,40,840,2,41,4.26,3.83,1.35,96.1,106.9,21.02,
56,해태,98,24.06,387,6,3,126,61,64,39,0,1108.1,531,481,4678,1064,,,121,351,32,76,870,0,35,3.91,3.82,1.28,103.5,106.0,24.06,
17,현대,98,27.63,384,11,6,126,81,45,33,0,1121.0,445,377,4684,984,,,98,415,14,33,875,1,37,3.03,3.63,1.25,131.4,109.4,27.63,
235,LG,99,15.42,564,2,1,132,61,70,40,0,1161.1,773,708,5236,1301,,,157,511,16,78,813,8,70,5.49,5.11,1.56,88.6,95.1,15.42,
69,두산,99,23.49,545,4,1,132,76,51,40,0,1188.0,657,605,5182,1192,,,133,521,12,72,837,12,61,4.58,4.79,1.44,105.2,100.7,23.49,
13,롯데,99,28.67,405,15,2,132,75,52,34,0,1178.0,590,547,5002,1125,,,146,431,14,54,852,6,52,4.18,4.64,1.32,120.1,108.3,28.67,
55,삼성,99,24.11,458,4,1,132,73,57,40,0,1195.2,748,685,5332,1295,,,157,502,20,60,929,5,59,5.16,4.79,1.50,98.3,106.0,24.11,
297,쌍방울,99,10.90,501,6,1,132,28,97,14,0,1163.2,826,757,5273,1342,,,187,481,20,103,661,8,63,5.85,5.68,1.57,84.2,86.8,10.90,
57,한화,99,24.04,423,13,3,132,72,58,42,0,1170.0,701,635,5097,1205,,,171,415,18,61,866,10,50,4.88,4.87,1.39,104.4,104.8,24.04,
195,해태,99,17.46,450,3,1,132,60,69,28,0,1168.1,743,676,5198,1267,,,182,462,23,104,782,4,47,5.21,5.35,1.48,97.5,94.8,17.46,
36,현대,99,25.35,467,10,1,132,68,59,25,0,1181.1,646,587,5188,1268,,,141,473,11,60,910,6,32,4.47,4.61,1.47,110.4,107.1,25.35,
